EnergyDepositedInSi, SourceZ, SiAngleOffAxis, AbsorberThickness
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
9.177,0,0,0
1.79004,0,0,0
9.55887,0,0,0
11.2176,0,0,0
60,0,0,0
4.03866,0,0,0
0.772092,0,0,0
60,0,0,0
60,0,0,0
10.3455,0,0,0
11.244,0,0,0
60,0,0,0
60,0,0,0
2.65932,0,0,0
3.80369,0,0,0
60,0,0,0
0.342494,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
9.63792,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
9.01505,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
9.68255,0,0,0
1.09096,0,0,0
60,0,0,0
60,0,0,0
11.7267,0,0,0
0.833504,0,0,0
60,0,0,0
3.86652,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
5.10785,0,0,0
4.81401,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
8.86537,0,0,0
60,0,0,0
6.60102,0,0,0
8.25777,0,0,0
0.360148,0,0,0
60,0,0,0
60,0,0,0
6.18203,0,0,0
6.10828,0,0,0
3.48421,0,0,0
9.85916,0,0,0
4.83727,0,0,0
60,0,0,0
60,0,0,0
4.00681,0,0,0
7.28516,0,0,0
60,0,0,0
60,0,0,0
5.34675,0,0,0
8.32927,0,0,0
2.76046,0,0,0
60,0,0,0
11.0551,0,0,0
10.8058,0,0,0
9.5468,0,0,0
6.97483,0,0,0
60,0,0,0
1.45349,0,0,0
0.470842,0,0,0
60,0,0,0
9.98789,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
11.2984,0,0,0
1.67312,0,0,0
9.71184,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
7.222,0,0,0
5.4244,0,0,0
8.94248,0,0,0
1.40383,0,0,0
